Hospital Name,State,City/Area,Address
Hamkad Hospital,Lagos,Abule Egba,"39 Olawale Cole U-Turn Bus Stop, Abule Egba"
Blooming Care Hospital,Lagos,Alakuko,"Adebayo Bus Stop, Along Baale Animashaun Road, Alakuko"
Uptown Medical Centre,Lagos,Ijaiye Ojokoro,"13b Agbado Road, Ijaiye, Ojokoro"
Funbi Hospital,Lagos,Alagbado,"10 Otun Close, Moshalashi, Alagbado"
Betta Hospital,Lagos,Agege,"9-11 Coker Street, Ipaja Road, Agege"
All Souls Infirmary Hospital,Lagos,Agege,"8 Church Street, Agege"
Mayfair Medical Centre,Lagos,Agege,"30/32 Adenle Street, Oke-Koto, Agege"
Promise Medical Centre Agege,Lagos,Agege,"No 132 Dopemu Road, Dopemu, Agege"
Light Hospital,Lagos,Akowonjo,"15 Olumide Onanubi Street, Off Oni, Akowonjo"
Father John Burke Memorial Hospital,Lagos,Alimosho,"St Ferdinand Catholic Church Compound, Alimosho LGA"
Gowon Estate Clinic,Lagos,Ipaja,"Plot 40A, 33rd Road, Gowon Estate, Ipaja"
St Joseph Medical Centre Gowon,Lagos,Gowon Estate,"412 Road, St. Joseph Catholic Church, Gowon Estate"
Bio-Batam Hospital,Lagos,Iyana Ipaja,"53 Tijani Street, Iyana Ipaja"
Crystal Specialist Hospital,Lagos,Egbeda,"148 Akowonjo Road, Egbeda"
Prince and Princess Hospital Gowon,Lagos,Gowon Estate,"First Avenue, 12 Road, Gowon Estate, Egbeda"
Faithhill Specialist Hospital,Lagos,Iyana Ipaja,"87 Alimosho Road, Alaguntan, Iyana Ipaja"
Veta Hospital,Lagos,Iyana Ipaja,"1 Veta Close, Araromi Bus Stop, Abeokuta Expressway, Iyana Ipaja"
Talent Specialist Hospital,Lagos,Gowon Estate,"Plot 440, 4th Avenue, Ponle Bus Stop, Gowon Estate, Egbeda"
Mucas Hospital,Lagos,Dopemu,"19 Ogun Street, Adeolu Bus Stop, Dopemu, Agege"
Westcare Specialist Hospital Akowonjo,Lagos,Akowonjo,"32 Samuel Street, Off Vulcanizer Bus Stop, Akowonjo"
Bee Hess Hospital,Lagos,Akowonjo,"155 Akowonjo Road, Akowonjo"
Gloria Medical Centre,Lagos,Anthony/Maryland,"9 Oladeinde Street, Anthony Village"
Osuntuyi Medical Centre Anthony,Lagos,Obanikoro,"9 Alhaji Salisu Street, Obanikoro"
St. Nicholas Hospital,Lagos,Maryland,"18 Faramobi Ajike Crescent, Anthony Village, Maryland"
Folarin Fountain Hospital,Lagos,Maryland,"7 Emmanuel Street, Maryland"
Dako Hospital,Lagos,Apapa,"185 Muyibi Street, Behind God Dey Cinema, Kirikiri Road, Apapa"
Christ Medical Centre,Lagos,Apapa,"28 Randle Road, Apapa"
